LOCALIZADOR;PLAN.;ELEMENTO;OS;POSICAO;BITOLA;PESO (KG);QTDE;COMPR. UNIT.;Compr. Corte;QR CODE
LIVING-MA.117;21869;V02;24;12;25mm;114,66;6;490;490;BF2D@HjLIVING-MA.117@r01@i24@p478936@l4900@n6@e114.66@d25.0@gCA50@s375.00@v@Gl4900@w0@C67@
LIVING-MA.117;21869;V02;25;13;25mm;148,20;4;950;950;BF2D@HjLIVING-MA.117@r01@i25@p478937@l9500@n4@e148.2@d25.0@gCA50@s375.00@v@Gl9500@w0@C84@
LIVING-MA.117;21869;V02;26;14;12,5mm;4,70;2;240;240;BF2D@HjLIVING-MA.117@r01@i26@p478938@l2400@n2@e4.704@d12.5@gCA50@s50.00@v@Gl2400@w0@C93@
LIVING-MA.117;21869;V02;27;15;8mm;416,30;294;354;347;BF2D@HjLIVING-MA.117@r01@i27@p478939@l3540@n294@e416.304@d8.0@gCA50@s32.00@v@Gl80@w-120@l1550@w-90@l140@w-90@l1550@w-90@l140@w-120@l80@w0@C90@
LIVING-MA.117;21869;V02;28;16;8mm;48,94;28;437;437;BF2D@HjLIVING-MA.117@r01@i28@p478940@l4370@n28@e48.944@d8.0@gCA50@s32.00@v@Gl4370@w0@C76@
LIVING-MA.117;21869;V02;29;17;8mm;96,21;28;859;859;BF2D@HjLIVING-MA.117@r01@i29@p478941@l8590@n28@e96.208@d8.0@gCA50@s32.00@v@Gl8590@w0@C94@
LIVING-MA.117;21869;V14;115;01;12,5mm;21,25;8;271;268;BF2D@HjLIVING-MA.117@r01@i115@p479039@l2710@n8@e21.246@d12.5@gCA50@s50.00@v@Gl380@w-90@l2330@w0@C69@
LIVING-MA.117;21869;V14;116;02;20mm;127,50;6;850;850;BF2D@HjLIVING-MA.117@r01@i116@p479040@l8500@n6@e127.5@d20.0@gCA50@s300.00@v@Gl8500@w0@C66@
LIVING-MA.117;21869;V14;117;03;20mm;27,50;2;550;550;BF2D@HjLIVING-MA.117@r01@i117@p479041@l5500@n2@e27.5@d20.0@gCA50@s300.00@v@Gl5500@w0@C91@
LIVING-MA.117;21869;V14;118;04;25mm;163,80;4;1050;1050;BF2D@HjLIVING-MA.117@r01@i118@p479042@l10500@n4@e163.8@d25.0@gCA50@s375.00@v@Gl10500@w0@C90@
